"","Reach_Untersuchungsstelle","Transect","Sampling_point","Time_of_survey","DIstance_Wasseranschlaglinie_m","Flow_velocity_v60_cm/s","Category_Flow_velocity_5_Bewohnbarkeits-klasse","Water_depth_cm","Category_Water_depth","Clogging_6_Klassen","Clogging_3_Klassen","Substrate_type","Algae_cover_Bewuchsdichte_5_Kategorien_1-5","Moos_cover_Deckungsgrad_6_Kategorien_0-5","CPOM_cover_Deckungsgrad_5_Kategorien_1-5","RTK-GPS_Nr","MZB_kick-net_taken_by","Oxygen_saturation_%_before","Oxygen_saturation_%_during","Oxygen_saturation_%_after","x","y","z","Sampling_site","lab$EPT_Taxa","k_index"
"652","TH1",2,1,15:35:00,1.25,119,NA,26,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",98.7,99.4,100.7,"2728377.393",1235390.712,640.45,NA,0,0
"653","TH1",2,2,15:30:00,2.3,155,NA,70,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,5,"Diego",98.7,99.4,100.7,"2728376.898",1235389.343,640.194,NA,0,0
"654","TH1",2,3,15:20:00,3.8,202,NA,83,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,4,"Diego",98.7,99.4,100.7,"2728376.846",1235388.473,640.004,NA,0,0
"655","TH1",3,1,16:00:00,2.4,47,NA,18,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",98.7,99.4,100.7,"2728405.699",1235366.8,640.662,NA,0,0
"656","TH1",3,2,15:50:00,5.15,186,NA,34,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,8,"Diego",98.7,99.4,100.7,"2728407.369",1235364.171,640.561,NA,0,0
"657","TH1",3,3,15:45:00,7.8,169,NA,58,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,7,"Diego",98.7,99.4,100.7,"2728408.985",1235362.289,640.462,NA,0,0
"658","TH1",4,1,16:20:00,3.45,13,NA,19,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,12,"Diego",98.7,99.4,100.7,"2728410.633",1235376.047,640.91,NA,0,0
"659","TH1",4,2,16:15:00,12.15,69,NA,33,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,11,"Diego",98.7,99.4,100.7,"2728415.33",1235368.705,640.728,NA,0,0
"660","TH1",4,3,16:05:00,20.1,111,NA,50,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,10,"Diego",98.7,99.4,100.7,"2728419.381",1235361.56,640.556,NA,0,0
"661","TH2",1,1,12:40:00,1.4,16,NA,44,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,3,"Diego",105.7,105.6,105,"2724186.198",1243530.113,590.273,NA,0,0
"662","TH2",1,2,12:35:00,5,52,NA,80,NA,"none ",NA,"25 mm > x > 2.5 mm",1,0,1,2,"Diego",105.7,105.6,105,"2724189.809",1243529.858,590.011,NA,0,0
"663","TH2",1,3,12:30:00,9.6,80,NA,85,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",105.7,105.6,105,"2724193.936",1243530.14,589.908,NA,0,0
"664","TH2",2,1,13:00:00,2.9,2,NA,10,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",105.7,105.6,105,"2724186.258",1243489.151,590.59,NA,0,0
"665","TH2",2,2,12:55:00,5.1,19,NA,49,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,5,"Diego",105.7,105.6,105,"2724188.441",1243488.57,590.269,NA,0,0
"666","TH2",2,3,12:50:00,7.1,5,NA,98,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,4,"Diego",105.7,105.6,105,"2724190.194",1243487.398,589.824,NA,0,0
"667","TH2",3,1,13:30:00,2.7,47,NA,11,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",105.7,105.6,105,"2724178.831",1243475.334,590.702,NA,0,0
"668","TH2",3,2,13:20:00,6.5,69,NA,12,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,8,"Diego",105.7,105.6,105,"2724181.215",1243472.099,590.646,NA,0,0
"669","TH2",3,3,13:15:00,10.8,47,NA,51,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,7,"Diego",105.7,105.6,105,"2724182.111",1243468.21,590.241,NA,0,0
"670","TH2",4,1,13:50:00,2.7,22,NA,24,NA,"none ",NA,"250 mm > x > 25 mm",1,1,1,12,"Diego",105.7,105.6,105,"2724159.092",1243473.563,590.814,NA,0,0
"671","TH2",4,2,13:45:00,11.15,91,NA,30,NA,"none ",NA,"250 mm > x > 25 mm",1,1,1,11,"Diego",105.7,105.6,105,"2724162.673",1243465.911,590.72,NA,0,0
"672","TH2",4,3,13:35:00,20,186,NA,68,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,10,"Diego",105.7,105.6,105,"2724169.328",1243459.527,590.368,NA,0,0
"673","TH3",1,1,14:50:00,1.95,8,NA,17,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,3,"Diego",104,103.8,103.9,"2723935.481",1248641.94,553.981,NA,0,0
"674","TH3",1,2,14:45:00,4.3,97,NA,37,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,2,"Diego",104,103.8,103.9,"2723935.274",1248640.253,553.814,NA,0,0
"675","TH3",1,3,14:40:00,6.7,174,NA,85,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",104,103.8,103.9,"2723934.736",1248638.37,553.598,NA,0,0
"676","TH3",2,1,15:05:00,1.6,44,NA,31,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",104,103.8,103.9,"2723957.039",1248641.044,554.139,NA,0,0
"677","TH3",2,2,15:00:00,2.75,111,NA,66,NA,"none ",NA,"25 mm > x > 2.5 mm",1,0,1,5,"Diego",104,103.8,103.9,"2723957.107",1248639.621,553.969,NA,0,0
"678","TH3",2,3,14:55:00,3.8,194,NA,84,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,4,"Diego",104,103.8,103.9,"2723955.193",1248636.637,553.613,NA,0,0
"679","TH3",3,1,15:30:00,2.75,74,NA,13,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",104,103.8,103.9,"2724015.401",1248641.172,554.478,NA,0,0
"680","TH3",3,2,15:25:00,5.9,147,NA,38,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,8,"Diego",104,103.8,103.9,"2724016.992",1248638.749,554.403,NA,0,0
"681","TH3",3,3,15:10:00,9.15,261,NA,58,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,7,"Diego",104,103.8,103.9,"2724023.199",1248636.945,554.069,NA,0,0
"682","TH3",4,1,16:00:00,1.85,49,NA,24,NA,"none ",NA,"250 mm > x > 25 mm",1,1,1,12,"Diego",104,103.8,103.9,"2724020.836",1248650.786,554.57,NA,0,0
"683","TH3",4,2,15:45:00,7,86,NA,44,NA,"none ",NA,"250 mm > x > 25 mm",1,1,1,11,"Diego",104,103.8,103.9,"2724023.707",1248646.714,554.511,NA,0,0
"684","TH3",4,3,15:40:00,12.5,211,NA,54,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,10,"Diego",104,103.8,103.9,"2724030.473",1248642.325,554.185,NA,0,0
"685","TH4",1,1,10:00:00,1.8,63,NA,31,NA,"none ",NA,"25 mm > x > 2.5 mm",1,0,1,3,"Diego",103.2,102.3,102.8,"2723680.137",1251227.285,540.387,NA,0,0
"686","TH4",1,2,09:55:00,5.6,141,NA,70,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,2,"Diego",103.2,102.3,102.8,"2723678.595",1251230.192,540.048,NA,0,0
"687","TH4",1,3,09:50:00,9.9,161,NA,77,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",103.2,102.3,102.8,"2723679.53",1251233.764,539.74,NA,0,0
"688","TH4",2,1,10:20:00,2.05,11,NA,19,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",103.2,102.3,102.8,"2723714.396",1251218.53,540.573,NA,0,0
"689","TH4",2,2,10:15:00,4.3,77,NA,49,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,5,"Diego",103.2,102.3,102.8,"2723714.528",1251220.822,540.348,NA,0,0
"690","TH4",2,3,10:10:00,7.85,180,NA,64,NA,"none ",NA,"250 mm > x > 25 mm",1,1,1,4,"Diego",103.2,102.3,102.8,"2723714.807",1251224.231,539.829,NA,0,0
"691","TH4",3,1,11:00:00,1.95,91,NA,17,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",103.2,102.3,102.8,"2723758.413",1251202.765,540.634,NA,0,0
"692","TH4",3,2,10:50:00,5.05,149,NA,28,NA,"none ",NA,"250 mm > x > 25 mm",1,1,1,8,"Diego",103.2,102.3,102.8,"2723759.12",1251204.11,540.471,NA,0,0
"693","TH4",3,3,10:45:00,9.2,244,NA,61,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,7,"Diego",103.2,102.3,102.8,"2723762.152",1251206.974,540.18,NA,0,0
"694","TH4",4,1,11:15:00,0.75,44,NA,26,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,12,"Diego",103.2,102.3,102.8,"2723772.426",1251182.469,540.872,NA,0,0
"695","TH4",4,2,11:00:00,7.9,136,NA,35,NA,"none ",NA,"250 mm > x > 25 mm",1,1,1,11,"Diego",103.2,102.3,102.8,"2723774.21",1251188.505,540.705,NA,0,0
